# 02 Feb 2010 12:14:18 PM Photodiode thickness: 300 micron; gain: 0.05; Beam size: 0.2 , 0.2 mm; Spear current: 169.5201457
# Energy(keV) Flux(ph/s) Current(mA) i2 shutter closed(V) i2 shutter open(V)
10.600 2.805e+11 0.11376885    2.53     2.17 2.388e+11 0.0968686    2.18     1.88 1.534e+11 0.0622427    1.42     1.22 7.203e+10 0.02922035    0.67     0.57 2.896e+09 0.0011746    0.03     0.02
11.009 3.429e+11 0.13919965    2.76     2.30 2.660e+11 0.1079935    2.17     1.81 1.730e+11 0.0702406    1.42     1.19 9.003e+10 0.03655125    0.74     0.62 3.554e+09 0.00144275    0.03     0.02
11.418 3.888e+11 0.157195    2.77     2.31 3.078e+11 0.12446045    2.22     1.85 2.096e+11 0.0847603    1.53     1.28 1.040e+11 0.0420686    0.76     0.64 3.804e+09 0.00153825    0.03     0.02
11.827 4.234e+11 0.1697994    3.22     2.26 3.433e+11 0.13768255    2.65     1.86 2.219e+11 0.0889742    1.72     1.21 1.028e+11 0.04121395    0.80     0.56 4.388e+09 0.00175965    0.04     0.02
12.236 4.110e+11 0.162852    3.03     1.98 3.066e+11 0.1214626    2.29     1.49 2.067e+11 0.0819065    1.55     1.02 1.048e+11 0.0415234    0.79     0.52 4.161e+09 0.00164835    0.03     0.02
12.646 3.782e+11 0.14757085    2.61     1.66 2.899e+11 0.1130972    2.02     1.29 1.833e+11 0.0715135    1.29     0.82 9.377e+10 0.03658525    0.66     0.42 3.748e+09 0.00146245    0.03     0.02
13.055 3.476e+11 0.13314875    2.26     1.39 2.734e+11 0.10474695    1.79     1.11 1.836e+11 0.0703371    1.21     0.75 9.109e+10 0.03489705    0.60     0.37 3.598e+09 0.00137845    0.02     0.01
13.464 3.421e+11 0.12839585    2.05     1.24 2.749e+11 0.1031804    1.66     1.01 1.755e+11 0.0658525    1.07     0.65 8.719e+10 0.03272145    0.53     0.32 3.597e+09 0.0013498    0.02     0.01
13.873 3.112e+11 0.11417965    1.83     1.05 2.368e+11 0.0868692    1.40     0.81 1.601e+11 0.0587358    0.95     0.55 8.289e+10 0.03040945    0.49     0.29 3.269e+09 0.00119915    0.02     0.01
14.282 2.784e+11 0.0996735    1.54     0.87 2.167e+11 0.0775894    1.21     0.69 1.514e+11 0.05422045    0.85     0.48 7.790e+10 0.0278896    0.44     0.25 3.392e+09 0.0012143    0.02     0.01
14.691 2.490e+11 0.08685535    1.32     0.73 1.972e+11 0.0688099    1.06     0.58 1.333e+11 0.04649855    0.72     0.40 6.845e+10 0.0238807    0.37     0.20 3.257e+09 0.0011362    0.02     0.01
15.100 2.143e+11 0.07276695    1.10     0.59 1.631e+11 0.05537605    0.84     0.45 1.136e+11 0.0385909    0.59     0.32 6.254e+10 0.02123775    0.32     0.17 3.251e+09 0.00110405    0.02     0.01
 
#The flux was measured through this aperture (hor, ver in mm)
flux_aperture 0.2 0.2
