CALIBRATION EDGE DATA

# Fe (haver) first inflection point= 7111.7 eV / theory= 7112.0 eV (+0.3)
# Co (haver) first inflection point= 7709.1 eV / theory= 7708.9 eV (-0.2)
# Ni (haver) first inflection point= 8331.4 eV / theory= 8332.8 eV (+1.4)
# Cu (Cu)    first inflection point= 8979.0 eV / theory= 8978.9 eV (+0.1)
# Se (Se/BN) first inflection point=12658.3 eV / theory=12657.8 eV (-0.5)

Fe K
  6960.2167    0.5078
  6961.2165    0.5074
  6962.2163    0.5065
  6963.2160    0.5070
  6964.2158    0.5051
  6965.2156    0.5066
  6966.2153    0.5066
  6967.2151    0.5066
  6968.2148    0.5058
  6969.2146    0.5040
  6970.2144    0.5036
  6971.2141    0.5052
  6972.2139    0.5043
  6973.2137    0.5036
  6974.2134    0.5037
  6975.2132    0.5038
  6976.2130    0.5040
  6977.2127    0.5034
  6978.2125    0.5028
  6979.2123    0.5026
  6980.2120    0.4989
  6981.2118    0.4969
  6982.2116    0.4970
  6983.2113    0.4972
  6984.2111    0.4962
  6985.2108    0.4979
  6986.2106    0.4963
  6987.2104    0.4955
  6988.2101    0.4964
  6989.2099    0.4955
  6990.2097    0.4939
  6991.2094    0.4946
  6992.2092    0.4947
  6993.2090    0.4940
  6994.2087    0.4949
  6995.2085    0.4932
  6996.2083    0.4929
  6997.2080    0.4927
  6998.2078    0.4942
  6999.2075    0.4929
  7000.2073    0.4924
  7001.2071    0.4932
  7002.2068    0.4929
  7003.2066    0.4916
  7004.2064    0.4936
  7005.2061    0.4916
  7006.2059    0.4918
  7007.2057    0.4909
  7008.2054    0.4892
  7009.2052    0.4908
  7010.2049    0.4903
  7011.2047    0.4891
  7012.2045    0.4919
  7013.2042    0.4936
  7014.2040    0.4920
  7015.2038    0.4923
  7016.2035    0.4912
  7017.2033    0.4917
  7018.2030    0.4903
  7019.2028    0.4888
  7020.2026    0.4891
  7021.2023    0.4892
  7022.2021    0.4896
  7023.2019    0.4881
  7024.2016    0.4905
  7025.2014    0.4894
  7026.2012    0.4900
  7027.2009    0.4895
  7028.2007    0.4896
  7029.2004    0.4894
  7030.2002    0.4886
  7031.2000    0.4875
  7032.1997    0.4884
  7033.1995    0.4880
  7034.1993    0.4874
  7035.1990    0.4858
  7036.1988    0.4870
  7037.1985    0.4875
  7038.1983    0.4868
  7039.1981    0.4870
  7040.1978    0.4873
  7041.1976    0.4858
  7042.1974    0.4857
  7043.1971    0.4862
  7044.1969    0.4853
  7045.1966    0.4851
  7046.1964    0.4839
  7047.1962    0.4842
  7048.1959    0.4846
  7049.1957    0.4843
  7050.1955    0.4841
  7051.1952    0.4846
  7052.1950    0.4836
  7053.1947    0.4838
  7054.1945    0.4844
  7055.1943    0.4815
  7056.1940    0.4831
  7057.1938    0.4825
  7058.1935    0.4825
  7059.1933    0.4830
  7060.1931    0.4829
  7061.1928    0.4830
  7062.1926    0.4826
  7063.1924    0.4823
  7064.1921    0.4827
  7065.1919    0.4813
  7066.1916    0.4864
  7067.1914    0.4852
  7068.1912    0.4838
  7069.1909    0.4839
  7070.1907    0.4826
  7071.1904    0.4823
  7072.1902    0.4823
  7073.1900    0.4829
  7074.1897    0.4825
  7075.1895    0.4817
  7076.1893    0.4840
  7077.1890    0.4838
  7078.1888    0.4839
  7079.1885    0.4886
  7080.1883    0.4840
  7081.1881    0.4839
  7082.1878    0.4827
  7083.1876    0.4842
  7084.1873    0.4847
  7085.1871    0.4822
  7086.1869    0.4833
  7087.1866    0.4832
  7088.1864    0.4841
  7089.1861    0.4847
  7090.1859    0.4829
  7091.1857    0.4844
  7092.1854    0.4835
  7093.1852    0.4821
  7094.1850    0.4817
  7095.1847    0.4824
  7096.1845    0.4821
  7097.1842    0.4824
  7098.1840    0.4826
  7099.1838    0.4813
  7100.1835    0.4832
  7101.1833    0.4827
  7102.1830    0.4821
  7103.1828    0.4821
  7104.1826    0.4837
  7105.1823    0.4824
  7106.1821    0.4840
  7107.1818    0.4861
  7108.1816    0.4876
  7109.1814    0.4900
  7110.1811    0.4958
  7111.1809    0.5148
  7112.1806    0.5520
  7113.1804    0.5778
  7114.1802    0.5993
  7115.1799    0.6127
  7116.1797    0.6203
  7117.1794    0.6233
  7118.1792    0.6299
  7119.1790    0.6426
  7120.1787    0.6620
  7121.1785    0.6789
  7122.1782    0.6989
  7123.1780    0.7219
  7124.1778    0.7431
  7125.1775    0.7681
  7126.1773    0.7913
  7127.1770    0.8060
  7128.1768    0.8118
  7129.1766    0.8123
  7130.1763    0.8106
  7131.1761    0.8089
  7132.1758    0.8092
  7133.1756    0.8146
  7134.1753    0.8216
  7135.1751    0.8300
  7136.1749    0.8317
  7137.1746    0.8268
  7138.1744    0.8260
  7139.1741    0.8221
  7140.1739    0.8129
  7141.1737    0.8141
  7142.1734    0.8175
  7143.1732    0.8116
  7144.1729    0.8098
  7145.1727    0.8079
  7146.1725    0.8052
  7147.1722    0.8080
  7148.1720    0.8068
  7149.1717    0.8063
  7150.1715    0.8099
  7151.1712    0.8134
  7152.1710    0.8176
  7153.1708    0.8212
  7154.1705    0.8291
  7155.1703    0.8354
  7156.1700    0.8404
  7157.1698    0.8453
  7158.1696    0.8484
  7159.1693    0.8507
  7160.1691    0.8500
  7161.1688    0.8495
  7162.1686    0.8464
  7163.1684    0.8416
  7164.1681    0.8359
  7165.1679    0.8305
  7166.1676    0.8229
  7167.1674    0.8175
  7168.1671    0.8129
  7169.1669    0.8071
  7170.1667    0.8024
  7171.1664    0.7998
  7172.1662    0.7974
  7173.1659    0.7954
  7174.1657    0.7935
  7175.1654    0.7919
  7176.1652    0.7907
  7177.1650    0.7911
  7178.1647    0.7892
  7179.1645    0.7876
  7180.1642    0.7865
  7181.1640    0.7852
  7182.1638    0.7860
  7183.1635    0.7854
  7184.1633    0.7847
  7185.1630    0.7842
  7186.1628    0.7876
  7187.1625    0.7893
  7188.1623    0.7894
  7189.1621    0.7917
  7190.1618    0.7936
  7191.1616    0.7954
  7192.1613    0.7967
  7193.1611    0.7983
  7194.1608    0.8004
  7195.1606    0.8021
  7196.1604    0.8047
  7197.1601    0.8076
  7198.1599    0.8091
  7199.1596    0.8111
  7200.1594    0.8127
  7201.1591    0.8153
  7202.1589    0.8189
  7203.1587    0.8212
  7204.1584    0.8241
  7205.1582    0.8265
  7206.1579    0.8282
  7207.1577    0.8289
  7208.1574    0.8298
  7209.1572    0.8303
  7210.1570    0.8286
  7211.1567    0.8273
  7212.1565    0.8235
  7213.1562    0.8229
  7214.1560    0.8199
  7215.1557    0.8187
  7216.1555    0.8166
  7217.1552    0.8157
  7218.1550    0.8121
  7219.1548    0.8091
  7220.1545    0.8071
  7221.1543    0.7998
  7222.1540    0.7987
  7223.1538    0.7948
  7224.1535    0.7936
  7225.1533    0.7899
  7226.1531    0.7858
  7227.1528    0.7824
  7228.1526    0.7778
  7229.1523    0.7753
  7230.1521    0.7731
  7231.1518    0.7685
  7232.1516    0.7671
  7233.1513    0.7641
  7234.1511    0.7625
  7235.1509    0.7635
  7236.1506    0.7624
  7237.1504    0.7604
  7238.1501    0.7606
  7239.1499    0.7637
  7240.1496    0.7695
  7241.1494    0.7699
  7242.1491    0.7665
  7243.1489    0.7655
  7244.1487    0.7653
  7245.1484    0.7677
  7246.1482    0.7679
  7247.1479    0.7675
  7248.1477    0.7700
  7249.1474    0.7695
  7250.1472    0.7683
  7251.1469    0.7680
  7252.1467    0.7667
  7253.1465    0.7665
  7254.1462    0.7672
  7255.1460    0.7662
  7256.1457    0.7672
  7257.1455    0.7674
  7258.1452    0.7690
  7259.1450    0.7711
  7260.1447    0.7722

Co K
  7559.0700    0.6858
  7560.0697    0.6856
  7561.0695    0.6851
  7562.0692    0.6854
  7563.0690    0.6854
  7564.0687    0.6840
  7565.0685    0.6827
  7566.0682    0.6836
  7567.0679    0.6844
  7568.0677    0.6832
  7569.0674    0.6836
  7570.0672    0.6825
  7571.0669    0.6818
  7572.0667    0.6815
  7573.0664    0.6809
  7574.0662    0.6806
  7575.0659    0.6812
  7576.0656    0.6803
  7577.0654    0.6808
  7578.0651    0.6808
  7579.0649    0.6794
  7580.0646    0.6804
  7581.0644    0.6812
  7582.0641    0.6779
  7583.0639    0.6795
  7584.0636    0.6790
  7585.0633    0.6786
  7586.0631    0.6788
  7587.0628    0.6779
  7588.0626    0.6770
  7589.0623    0.6778
  7590.0621    0.6766
  7591.0618    0.6768
  7592.0616    0.6764
  7593.0613    0.6766
  7594.0610    0.6768
  7595.0608    0.6765
  7596.0605    0.6769
  7597.0603    0.6759
  7598.0600    0.6773
  7599.0598    0.6770
  7600.0595    0.6756
  7601.0592    0.6744
  7602.0590    0.6785
  7603.0587    0.6756
  7604.0585    0.6747
  7605.0582    0.6738
  7606.0580    0.6752
  7607.0577    0.6739
  7608.0575    0.6734
  7609.0572    0.6725
  7610.0569    0.6721
  7611.0567    0.6722
  7612.0564    0.6719
  7613.0562    0.6715
  7614.0559    0.6718
  7615.0557    0.6726
  7616.0554    0.6720
  7617.0551    0.6720
  7618.0549    0.6704
  7619.0546    0.6707
  7620.0544    0.6708
  7621.0541    0.6694
  7622.0539    0.6706
  7623.0536    0.6689
  7624.0533    0.6695
  7625.0531    0.6687
  7626.0528    0.6690
  7627.0526    0.6675
  7628.0523    0.6679
  7629.0521    0.6676
  7630.0518    0.6665
  7631.0515    0.6658
  7632.0513    0.6687
  7633.0510    0.6663
  7634.0508    0.6652
  7635.0505    0.6664
  7636.0502    0.6657
  7637.0500    0.6654
  7638.0497    0.6660
  7639.0495    0.6646
  7640.0492    0.6646
  7641.0490    0.6646
  7642.0487    0.6667
  7643.0484    0.6676
  7644.0482    0.6648
  7645.0479    0.6649
  7646.0477    0.6660
  7647.0474    0.6661
  7648.0472    0.6653
  7649.0469    0.6641
  7650.0466    0.6643
  7651.0464    0.6632
  7652.0461    0.6641
  7653.0459    0.6649
  7654.0456    0.6650
  7655.0453    0.6632
  7656.0451    0.6640
  7657.0448    0.6630
  7658.0446    0.6627
  7659.0443    0.6637
  7660.0441    0.6632
  7661.0438    0.6624
  7662.0435    0.6635
  7663.0433    0.6628
  7664.0430    0.6628
  7665.0428    0.6624
  7666.0425    0.6618
  7667.0422    0.6616
  7668.0420    0.6617
  7669.0417    0.6615
  7670.0415    0.6606
  7671.0412    0.6600
  7672.0410    0.6605
  7673.0407    0.6601
  7674.0404    0.6590
  7675.0402    0.6542
  7676.0399    0.6542
  7677.0397    0.6543
  7678.0394    0.6533
  7679.0391    0.6534
  7680.0389    0.6532
  7681.0386    0.6534
  7682.0384    0.6531
  7683.0381    0.6530
  7684.0378    0.6509
  7685.0376    0.6517
  7686.0373    0.6524
  7687.0371    0.6516
  7688.0368    0.6509
  7689.0365    0.6528
  7690.0363    0.6519
  7691.0360    0.6496
  7692.0358    0.6494
  7693.0355    0.6524
  7694.0353    0.6511
  7695.0350    0.6485
  7696.0347    0.6549
  7697.0345    0.6652
  7698.0342    0.6565
  7699.0340    0.6533
  7700.0337    0.6526
  7701.0334    0.6540
  7702.0332    0.6560
  7703.0329    0.6564
  7704.0327    0.6579
