# 19 Nov 2009 04:01:15 PM Photodiode thickness: 300 micron; gain: 0.01; Beam size: 0.2 , 0.2 mm; Spear current: 188.7003989
# Energy(keV) Flux(ph/s) Current(mA) i2 shutter closed(V) i2 shutter open(V)
6.000 1.155e+10 0.00306635    1.59     1.59 1.158e+10 0.00307594    1.60     1.60 7.802e+09 0.0020716    1.09     1.08 3.276e+09 0.00086973    0.46     0.46 1.381e+08 3.668e-05    0.02     0.02
6.922 1.984e+10 0.00607126    1.77     1.75 1.521e+10 0.00465301    1.36     1.34 1.111e+10 0.00339866    1.00     0.98 5.419e+09 0.00165807    0.49     0.48 2.973e+08 9.098e-05    0.03     0.03
7.844 2.411e+10 0.00829804    1.49     1.43 2.010e+10 0.00691752    1.23     1.19 1.338e+10 0.00460586    0.82     0.80 6.556e+09 0.00225654    0.40     0.39 3.031e+08 0.00010432    0.02     0.02
8.766 3.436e+10 0.01291211    1.43     1.40 2.593e+10 0.00974387    1.09     1.07 1.803e+10 0.00677798    0.76     0.75 9.069e+09 0.00340839    0.39     0.38 5.008e+08 0.00018822    0.02     0.02
9.688 3.689e+10 0.01464039    1.15     1.10 2.981e+10 0.0118299    0.93     0.89 1.827e+10 0.00724902    0.57     0.54 9.152e+09 0.00363162    0.28     0.27 4.693e+08 0.00018621    0.02     0.02
10.609 3.627e+10 0.0147154    1.03     0.81 2.865e+10 0.01162403    0.81     0.64 1.848e+10 0.00749882    0.53     0.42 9.265e+09 0.00375877    0.26     0.21 3.980e+08 0.00016145    0.01     0.01
11.531 3.473e+10 0.01401643    0.83     0.59 2.597e+10 0.01048221    0.62     0.45 1.723e+10 0.00695537    0.42     0.30 8.503e+09 0.00343155    0.21     0.15 4.396e+08 0.0001774    0.01     0.01
12.453 2.642e+10 0.01038671    0.73     0.37 1.983e+10 0.00779741    0.55     0.29 1.292e+10 0.00507819    0.36     0.19 6.398e+09 0.00251507    0.18     0.09 3.295e+08 0.00012954    0.01     0.01
13.375 5.090e+09 0.00191899    0.14     0.06 3.878e+09 0.00146197    0.10     0.05 2.546e+09 0.00096012    0.07     0.03 1.341e+09 0.00050553    0.04     0.02 6.087e+07 2.295e-05    0.00     0.00
 
#The flux was measured through this aperture (hor, ver in mm)
flux_aperture 0.2 0.2
